"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1277","300 Hayes Street, Civic Center, San Francisco","1081","1300 Powell Street, Emeryville","10/1/2017 - 10/31/2017, Every day, Daily Average",1244,881,1755
"1277","300 Hayes Street, Civic Center, San Francisco","1082","2000 Clement Avenue, Alameda","10/1/2017 - 10/31/2017, Every day, Daily Average",1546,1229,1944
"1277","300 Hayes Street, Civic Center, San Francisco","1083","3000 Calhoun Street, Alameda","10/1/2017 - 10/31/2017, Every day, Daily Average",1791,1402,2287
"1277","300 Hayes Street, Civic Center, San Francisco","1084","500 Tarryton Isle, West Alameda, Alameda","10/1/2017 - 10/31/2017, Every day, Daily Average",1945,1421,2661
"1277","300 Hayes Street, Civic Center, San Francisco","1085","22200 Eden Canyon Road, Castro Valley","10/1/2017 - 10/31/2017, Every day, Daily Average",2386,1750,3252
"1277","300 Hayes Street, Civic Center, San Francisco","1087","900 Dowling Boulevard, Broadmoor, San Leandro","10/1/2017 - 10/31/2017, Every day, Daily Average",1859,1317,2622
"1277","300 Hayes Street, Civic Center, San Francisco","1089","1700 Wayne Avenue, Davis Tract, San Leandro","10/1/2017 - 10/31/2017, Every day, Daily Average",1718,1254,2352
"1277","300 Hayes Street, Civic Center, San Francisco","1090","200 Reva Avenue, Davis Tract, San Leandro","10/1/2017 - 10/31/2017, Every day, Daily Average",1722,1242,2386
"1277","300 Hayes Street, Civic Center, San Francisco","1097","15500 Tracy Street, San Lorenzo","10/1/2017 - 10/31/2017, Every day, Daily Average",1973,1473,2641
"1277","300 Hayes Street, Civic Center, San Francisco","1098","600 Elgin Street, San Lorenzo","10/1/2017 - 10/31/2017, Every day, Daily Average",1912,1409,2593
"1277","300 Hayes Street, Civic Center, San Francisco","1099","30600 Palomares Road, Castro Valley","10/1/2017 - 10/31/2017, Every day, Daily Average",2263,1714,2987
"1277","300 Hayes Street, Civic Center, San Francisco","1100","0 Via Diego, San Lorenzo","10/1/2017 - 10/31/2017, Every day, Daily Average",1934,1441,2594
"1277","300 Hayes Street, Civic Center, San Francisco","1103","27100 Patrick Avenue, Harder - Tennyson, Hayward","10/1/2017 - 10/31/2017, Every day, Daily Average",2212,1657,2952
"1277","300 Hayes Street, Civic Center, San Francisco","1106","30100 Ahern Avenue, Union City","10/1/2017 - 10/31/2017, Every day, Daily Average",2423,1850,3171
"1277","300 Hayes Street, Civic Center, San Francisco","1111","John Slough, Novato","10/1/2017 - 10/31/2017, Every day, Daily Average",2418,1986,2943
"1277","300 Hayes Street, Civic Center, San Francisco","1114","0 Bahama Reef, Novato","10/1/2017 - 10/31/2017, Every day, Daily Average",2186,1751,2728
"1277","300 Hayes Street, Civic Center, San Francisco","1115","Saint Vincents Drive, San Rafael","10/1/2017 - 10/31/2017, Every day, Daily Average",1905,1507,2407
"1277","300 Hayes Street, Civic Center, San Francisco","1117","700 Redwood Road, San Anselmo","10/1/2017 - 10/31/2017, Every day, Daily Average",1970,1643,2361
"1277","300 Hayes Street, Civic Center, San Francisco","1118","0 South Ridgewood Road, Kentfield","10/1/2017 - 10/31/2017, Every day, Daily Average",1783,1472,2158
"1277","300 Hayes Street, Civic Center, San Francisco","1119","0 Locust Avenue, Larkspur","10/1/2017 - 10/31/2017, Every day, Daily Average",1539,1221,1939
"1277","300 Hayes Street, Civic Center, San Francisco","1120","0 Spindrift Passage, Corte Madera","10/1/2017 - 10/31/2017, Every day, Daily Average",1463,1176,1818
"1277","300 Hayes Street, Civic Center, San Francisco","1121","300 Ridgewood Avenue, Mill Valley","10/1/2017 - 10/31/2017, Every day, Daily Average",1280,1022,1602
"1277","300 Hayes Street, Civic Center, San Francisco","1209","600 Woodside Drive, Woodside Hills, Woodside","10/1/2017 - 10/31/2017, Every day, Daily Average",2210,1825,2675
